document id,Review,After Lemmatization,,sentimental_analysis
review 83,"Somehow the darkest and most serious movies get the highest ratings. People say that this movie is so thrilling and that Joaquin Phoenix deserves an Oscar but at the end of the day, it wasn't entertainment. There were so many evil moments and dark scenes but what's so good about that?

This movie was almost like instructions on how to be a psycho. They flipped the usual idea and boundaries of good and evil for the audience to feel sorry for the bad guy. People seem to think this is a good thing. It's bad!

The point of a movie is to entertain audiences and this movie just made me feel depressed and miserable. I'll have to watch a movie where the hero is clear and the villain is clear so I can actually be entertained. The fundemental and successful formula for a film.",somehow dark seriou move get highest rate peopl say movi thrill joaquin phoenix deserv oscar end day want entertain mani evil moment dark scene what good movi almost like instruct psychic slip usual idea boundari good evil audienc feel sorri bad guy peopl seem think good thing bad point movi entertain audienc movi made feel depress miser ill watch movi hero clear villain clear actual entertain fundament success formula film,,nuetral
review 84,"""Joker"" is nor a ""masterpiece"" nor is it ""flawless"" as this board boasts. It's mirely a decent origin, albeit heavy-handed as sin, with choppy flow, poor directing decisions at moments, and part brilliant part wildly overacting on Phoenix's part. The heavy handed nature of mental illness is not written well... It highlghts many different illnesses with none of which feeling whole or handled with much, if any, sense of understanding. Sprinkle in are a few light-hearted moments to remind you that ""hey, he's still funny at times""... But with the strained mental illness angle it's difficult to laugh at these moments without a bit on introspection of what it is and who it is you're laughing at. The real ""danger"" this movie poses is that it's another Hollywood blunder with mental health and its handling... Which does way more harm than good.

There is no great existential pandering, ss some are saying... ""it's deep"", ""my feels"", ""It's not a superhero movie it's a character study"", regardless of what anyone wants to categorize it as.. I'll consider it a generous 3.",joke masterpiec lawless board boat mere decent origin albeit heavyhand sin happi flow poor direct decis moment part brilliant part wildli oper phoenix part heavi hand natur mental ill written well highlight mani differ ill none feel whole handl much sen understand sprinkl lightheart moment remind hey he still funni time strain mental ill angl difficult laugh moment without bit introspect your laugh real danger movi pose anoth hollywood blunder mental health handl way harm good great existenti wander is say deep feel superhero movi charact studi regardless anyon want categori ill consid gener 3,,positive
review 85,"This film tries desperately to devillify the most stylish and charismatic villain in the DC universe and excruciatingly transform him into a poster child for mental illness in the most tedious manner possible.. This version of the Joker lacks any semblance of style, luster, flair, or charisma, leaving me to wonder why anyone would bother investing the time and money required to create this turkey, much less watch it.

They've murdered the Joker for the sake of some social commentary and PC promotion. I don't deny that mental illness is a real issue or that attention should be brought to it, but folks watch movies about supervillians to see super-villainy, not a 2 hour public service announcement. I hung in there as long as I could hoping for this movie to redeem itself, but about 3 quarters of the way through I could take no more of watching it spin it's wheels.

If you are a fan of the Jack Nicholson or Heath Ledger versions of the Joker then you will likely find this film as painful to watch as I did.",film tri desper devillifi stylish charismat villain do univers excruci transform poster child mental ill tediou manner possibl version joke lack semblanc style luster flair charisma leav wonder anyon would bother invest time money requir creat turkey much le watch they murder joke sake social commentari pp promot dont deni mental ill real issu attent brought folk watch move supervillian see supervillaini 2 hour public servic announc hung long could hope movi redeem 3 quarter way could take watch spin wheel fan jack nicholson heath ledger version joke like find film pain watch,,positive
review 86,Best acting and story. This is an Oscar winning movie,best act stori oscar win movi,,positive
review 87,I sat through this slowwwwww movie and would gladly have left half way into it. Its a boring movie until the last 5 minutes... overhyped as usual....the violence must have been cut out of the version i seen as i think i have seen more gore in a disney movie,sat slowwwwww movi would gladli left half way bore movi last 5 minut overhyp usualth violenc must cut version seen think seen more dinner movi,,negative
review 89,"The reality, far from fiction!! That what's made the movie,,, the oscar winner actor made a new joker rivalry with heath ledger joker, better joker in some people opinion.. piece of art",realiti far fiction what made movi oscar winner actor made new joke rivalri heath ledger joke better joke peopl opinion piec art,,positive
review 90,"A mentally ill person without talents (or intelligence) cannot become a super villain just because he is angry. He will only be a mentally ill person with no talents (and intelligence) in anger. Nothing more. As a film, Joker lacks creativity or depth. In all senses. Unfortunately Joker did for the iconical character the same thing that Twilight did for vampire films.",mental ill person without talent intellig can not becom super villain angri mental ill person talent intellig anger noth film joke lack creativ depth sen unfortun joke iron charact thing twilight empir film,,positive
reeview 91,"Yesterday was that day, when I understand, that I have touched history. This movie will drag you in your deepest thoughts, in your darkest secrets and suffering. This masterpiece will grind you, like a meat grinder and you will watch it in silence and with open mouth. Like the whole cinema will. I don't like comics movie, marvel is very pompous, absurd and insipid. In my opinion. It's not an art, it's just an attraction. As DC movies was too. But now DC made history, the made art and made drama. To be more understandable. When you watch for example Avengers or League of Justice you are eating McDonald's hamburger. But when you watch Joker you are eating 1000$ stake in the most luxurious restaurant in the world.",yesterday day understand touch histori movi drag deepest thought dark secret suffer masterpiec grind like meat grinder watch silenc open mouth like whole cinema dont like comic movi marvel pompou absurd insipid opinion art attract do move do made histori made art made drama understand watch exampl avenu leagu justic eat macdonald hamburg watch joke eat 1000 stake luxuri restaur world,,positive
review 92,"An outstanding performance by Joaquin Phoenix which completely embodies Joker's character. This is a film which people, decades from now, will be watching and inevitably will be rendered speechless by how exceptional it is.",outstand perform joaquin phoenix complet embodi joke charact film peopl decad watch inevit render speechless except,,positive
review 93,"Is it just me or does anyone over 30 see they kind of ripped off ""the King of Comedy (1982)""?",anyon 30 see kind grip king comedi 1982,,positive
review 94,"If you plan on watching this I would suggest skipping to the last 20 or 30mins. Otherwise it's completely boring, I thought people were saying this was suppose to be better then Heath Ledgers joker? Not to say this joker doesn't have potential but they just spent 90% of the movie showing that he has a mental issue.",plan watch would suggest ship last 20 30min otherwis complet bore thought peopl say suppos better heath ledger joke say joke doesn potenti spent 90 movi show mental issu,,positive
review 95,"Joker is without a doubt my new favorite DC film. It's dark and gritty but with enough psychological twists that it keeps you guessing from beginning to end. Nothing can be taken at face value and the film forces you to think from beginning to end. Don't listen to the critics, this one is worth watching multiple times in theaters.",joke without doubt new favorit do film dark gritti enough psycholog twist keep guess begin end noth taken face valu film forc think begin end dont listen critic one worth watch multipl time theater,,positive
review 96,"To say it was satisfying would be somewhat misleading. Joaquin Phoenix makes you feel uncomfortable almost the entire time. I couldn't help thinking about Christian Bale in The Machinist and Robert De Niro in Taxi Driver. With those comparisons, clearly I have some high praise on the acting.

The film itself slowly builds momentum, but when it builds...it's really builds. Those looking for traditional comic book action may feel it moves a bit slow, but it's pace allows for the transformation to not feel superficial. When you walk out of the theater you won't know exactly how to feel, but you'll surely want to know how everyone else feels about it.",say satisfi would somewhat mislead joaquin phoenix make feel uncomfort almost entir time couldn help think christian abl machin robert de no taxi driver comparison clearli high prais act film slowli build momentum buildsit realli build look tradit comic book action may feel move bit slow pace allow transform feel superfici walk theater wont know exactli feel you sure want know everyon el feel,,positive
review 97,"Heath great in dark Knight, even liked Jared Leto in suicide squad but after seeing the countless ad's for Joker definitely don't want to watch that even if it is free to watch rather than waste money on it at the cinema. Phoenix is too depressing to watch & most of the time i want to fast forward thru his performance as too much drama to sit & watch without wanting to get up and do something like make a cup of tea. Personally would have liked to see more of Jared Leto's character of him and tougue in cheek type with Harvey Quinn with a cameo.",heath great dark knight even like dare let suicid squad see countless a joke definit dont want watch even free watch rather wast money cinema phoenix depress watch time want fast forward thou perform much drama sit watch without want get someth like make cup tea person would like see dare let charact tongu cheek type harvey quit cameo,,positive
review 98,"I was very excited about this movie when it came out in theaters and after all the raving reviews I was even more excited. I never got a chance to watch in the theater and I'm very glad I didn't. This movie was 2 hours, that felt like 4, of flat boring plot. Literally nothing happens in the movie. All it is a very mentally ill insecure man talking to a therapist, laughing, and killing people. Arthur's laugh is terrible and annoys me throughout the whole movie. Arthur has no depth or personality. This movie was so boring I started falling asleep. Anyone who things those movie is a deep and meaningful masterpiece clearly has not seen other movies. I can list off so many other movies that are much more moving and deep than this. All this movie does is try to show that the villain, The Joker, from the comics is a distraught weak man. But in reality the joker from the comics is anything but that. He was crazy but a compete mastermind. The 11 Oscar nominations are idiotic because this movie is anything but Oscar worthy.",excit movi came theater rave review even excit never got chanc watch theater in glad didn movi 2 hour felt like 4 flat bore plot liter noth happen movi mental ill insecur man talk therapist laugh kill peopl arthur laugh terribl annoy throughout whole movi arthur depth person movi bore start fall asleep anyon thing movi deep meaning masterpiec clearli seen move list mani move much move deep movi tri show villain joke comic distraught weak man realiti joke comic anyth crazi compet master 11 oscar nomin idiot movi anyth oscar worthi,,negative
review 99,"There is doing an homage and then there is borrowing wholesale from other material. This film is little more than a remake of ""Taxi Driver"" with elements (most notably the end) borrowed from ""Network"". In the case of ""Taxi Driver"" there are whole lines of dialogue, characters and scenes that are lifted from it and placed in this movie. Except the execution isn't as polished, the acting not of the same caliber and the story not as original.

Watch ""Taxi Driver"" and ""Network"", this film was made 40 years earlier and was made better.",homag borrow wholesal materi film littl make taxi driver element notabl end borrow network case taxi driver whole line dialogu charact scene lift place movi except execut isn polish act calibr stori origin watch taxi driver network film made 40 year earlier made better,,positive
review 100,"Disturbing. Just got out of the movie. My humor was much better before seeing it. At first feel pity for the guy suffering, but he lacks charm and then well he is just a killer. Heath Ledger was far better.",disturb got movi humor much better see first feel piti guy suffer lack charm well killer heath ledger far better,,negative
review 101,What a legendary character and what a legendary performance by the actor. I was not able to move on from the Heath ledger performance but this movie is totally worth it. This movie deserves an oscar. It showcased the never before seen origin of The Joker himself and you will love it.,legendari charact legendari perform actor abl move heath ledger perform movi total worth movi deserv oscar showcas never seen origin joke love,,positive
review 102,"Not sure what kind of message this movie is supposed to send. Or is it supposed to be just fun, because it's not. I don't sympathize with the main character at all, throughout the whole movie he would get on my nerves. I was waiting entire time for the plot to start revolving and when it finally did, the movie was over and left me with a feeling that I've waisted two hours of my life on nothing. For a movie with this high rating I expected to see something fresh and inspirational and somehow it seems to me all the scenes and acting I've seen in this movie I saw a thousand times in bunch of other movies, like it was cliche after cliche. Yawn festival.",sure kind messag movi suppos send suppos fun dont sympath main charact throughout whole movi would get nerv wait entir time plot start revolv final movi left feel give waist two hour life noth movi high rate expect see someth fresh inspir somehow seem scene act give seen movi saw thousand time bunch move like calech calech yawn festiv,,neutral
review 103,"Wow I honestly gotta tell you, it's one of the best movies I've seen in years. All from the cinematography, thumping and sadden soundtrack, all the way to the OMG performance by Joaquin Phoenix, it's dark, it's evolving, twisting and wow just you can feel deep down to your bones his emotions portraying the Joker.

Just alone watching hearing The Jokers laugh is so twisty and evil and you could hear his sadness coming out from his mouth. You could hear the hours of practice just on the laugh alone and his method acting is perfectly on point along with his subtle gestures and dance that is done perfectly as the Joker should be. This movie has all the psychological twisting that made you believed and immersed into the movie, I was totally shocked and overwhelmed by everything even after I left the cinema. Just mind-blowned.

When I was watching in just now in the cinema, more than half the cinema cheered and applauded on certain scenes. And almost the entire patron stayed until the last credit. If u looked closely even Joker costume were evolving and changing from time to time based on his journey and experienced and just looked at the final and true form just looked absolutely stunning. Just the excitement and the dialogues told by The Joker is just so heart-crushing and it just made me felt so bad for the Joker, and it's the first time where I sided with the evil character or maybe he is the hero of this movie, who knows ?

Honestly, u have to watch it, it's one of the best performance u be watching in a Long time, movies like this deserves to be watched on the Big Screen, go find the best cinema in town and enjoy the wild ride of emotions and fear and anger, just satisfying!!",now honestli gutta tell one best move give seen year cinematographi thump sadden soundtrack way org perform joaquin phoenix dark revolv twist now feel deep bone emot portray joke alon watch hear joke laugh twist evil could hear sad come mouth could hear hour practic laugh alon method act perfectli point along subtl gestur danc done perfectli joke movi psycholog twist made believ immers movi total shock overwhelm everyth even left cinema mindblown watch cinema half cinema cheer applaus certain scene almost entir patron stay last credit u look close even joke costum revolv chang time time base journey experienc look final true form look absolut stun excit dialogu told joke heartcrush made felt bad joke first time side evil charact mayb hero movi know honestli u watch one best perform u watch long time move like deserv watch big screen go find best cinema town enjoy wild ride emot fear anger satisfi,,positive
review 104,"This has to be the dumbest DC movie yet. Way to miss the opportunity. First the Joker character is all wrong, this depicts Joker as unintelligent person with no wit. WRONG Joker maybe insane but his wit and intelligence is what makes him the master criminal that keeps batman on his toes. His ability to always find way out of being locked up was not demonstrated at all. The bar was set high with Joker in suicide squad and they didn't come close to the epic legend.",dullest do movi yet way miss opportun first joke charact wrong depict joke intellig person wit wrong joke mayb insan wit intellig make master crimin keep batman toe abil alway find way lock demonstr bar set high joke suicid squad didn come close epic legend,,negative
review 105,"While I enjoyed the film, it felt pretty short. When ""The End"" appeared on the screen I couldn't help but think - ""That's it?""

Joaquin Phoenix was fantastic with his new take on the Joker, and it's mesmerizing to see his facial expressions keep changing. And his Joker laugh is unique - sinister and full of Joker's madness.

However despite some minor plot twists, most of interesting bits in the film have already been shown in the trailers. Don't expect much action like in The Dark Knight trilogy. Despite the much hyped gun violence, there are less guns in this movie than in any other Batman flick.

This is not a bad film, but it's not a great one either. Watch it only for Joaquin's performance.",enjoy film felt pretti short end appear screen couldn help think that joaquin phoenix fantast new take joke mesmer see facial express keep chang joke laugh uniqu sinist full joke mad howev despit minor plot twist interest bit film alreadi shown trailer dont expect much action like dark knight trilog despit much hope gun violenc le gun movi batman flick bad film great one either watch joaquin perform,,positive
review 106,"I was underwhelmed - to say it friendly - but not surprised by the fact. Because Hollywood has lost its magic looong time ago. IMHO no. bo. dy gives a damn about Darth Vader's Childhood or Joker's relationship with his mother. All we want for centuries is a proper boogeyman. If you overpaid LaLaLand-Schmocks won't jump from the stupid Prequel-explains-it-all-train - please give us at least solid filmmaking. Joker is a mess. No story, no finesse, no build-up, no surprises, no ideas. But a load of layman-psychology that should make even 12y olds roll their eyes; a cacophony of more or less unrelated scenes; cheesy taxi-driver-moments without any impact; massive overacting by Phoenix and no subtle sinister Joker moments except for the two second Elevator-Scene we all know (and love) from the trailer. rating 9.0? A joke. Heath Ledger, I miss you.",underwhelm say friendli surpris fact hollywood lost magic long time ago who to dy give damn earth order childhood joke relationship mother want centuri proper boogeyman overlaid lalalandschmock wont jump stupid prequelexplainsitalltrain plea give u least solid filmmak joke mess stori fine build surpris idea load laymanpsycholog make even by old roll eye cacophoni le unrel scene chees taxidrivermo without impact massiv oper phoenix subtl sinist joke moment except two second elevatorscen know love trailer rate 90 joke heath ledger miss,,positive
review 107,"This movie represents everything wrong with Hollywood. Take an existing thing, make vast changes to it to the point it is no longer the thing it was, yet still call it the same thing to profit off its popularity.

This story is of a loser at the end of his ropes. His life was sad, pathetic and he is powerless and thus...of course, lashes out at the world for it. This is a millennial's story. A person that blames everyone else, is a victim. There is no strength in this character. He isnt scary. He isnt a thing to be feared. This so called Joker, because he is without strength, knowledge could never be what the Joker actually is. Hard to kill, vastly intelligent and a criminal master-mind.

Besides undermining every single thing that is the Joker's history, it makes a mockery of the Batman universe. This ""man"", who has no criminal history, cant fight worth a damn and is a low-IQ nit-wit, can just magically become not only Batmans greatest enemy, but can hold his own against the most powerful mob bosses and villains in the DC Universe. Why? Because he hates the world because his life sucked.

Most at this point will have gone on about the deep psychological aspect of the film and claim that only a few can understand it...it is true. It is a deep psychological look at the mind of a professional victim that has failed at life and wants to burn the world because of it all while ignoring how it could never happen because a person like this could only hope to go out with a bang, literally as weak beta males can only hope to do, or ever do. It takes personal and mental strength to because a thing that gains power, keeps it, and uses it. That, makes this movie a failure on all levels other than acting. Which is supurb. Phoenix himself would make a great Joker, if he was cast to play the actual Joker.

Sadly, this movie has missed the mark on coming remotely close to being like the character that is the Joker. Any incarnation of it. At least Leto was close to the New 52 Joker, enough that makes that role, more Joker than this one.",movi repres everyth wrong hollywood take exist thing make vast chang point longer thing yet still call thing profit popular stori lower end rope life sad pathet powerless thu cours lash world millenni stori person blame everyon el victim strength charact isn scar isn thing fear call joke without strength knowledg could never joke actual hard kill lastli intellig crimin master besid undermin everi singl thing joke histori make monkey batman univers man crimin histori can fight worth damn lower nitric magic becom batman greatest enemi hold power mob bos villain do univers rate world life suck point gone deep psycholog aspect film claim understand tit true deep psycholog look mind profession victim fail life want burn world ignor could never happen person like could hope go bang liter weak beta male hope ever take person mental strength thing gain power keep use make movi failur level act superb phoenix would make great joke cast play actual joke sadli movi miss mark come remot close like charact joke inclin least let close new 52 joke enough make role joke one,,positive
review 108,"What can I say about it that hasn't already been said? It's not a terrible film, but it's not a great (or even a really good one) either. The technical aspects are great. The score and cinematography are really good. Many individual scenes are also good. But as a whole, it just feels unnecessary. Not just that, but tone deaf as well. What it's trying to say about mental illness is problematic. Why? Because it's not really sure what it's trying to say or if it's even trying to say anything about it at all. Instead, it was added in there because, well, it's easy right? Joaquin Phoenix really does excel in many scenes of the film, but I'm not sure I would want him winning an Oscar for this. Overall, it's also just not that interesting. It's kind of... boring at times. And for a Joker film to be boring? That's a crucial offense. And I guess everyone is entitled to their opinion, but I seriously wonder if those people calling this a ""masterpiece"" have even seen Taxi Driver or The King of Comedy.",say hasn alreadi said terribl film great even realli good one either technic aspect great score cinematographi realli good mani individu scene also good whole feel unnecessari tone deaf well tri say mental ill problemat realli sure tri say even tri say anyth instead ad well easi right joaquin phoenix realli expel mani scene film in sure would want win oscar overal also interest kind bore time joke film bore that crucial offens guess everyon entitl opinion serious wonder peopl call masterpiec even seen taxi driver king comedi,,negative
review 109,Best acting and story,best act stori ,,positive
review 110,Awesome,awesome,,positive
review 112,Ratings for acting are overrated. This movie is terrible. I watched a man smoke 112 cigarettes and do a fake laugh for two hour,rate act oper movi terribl watch man smoke 112 cigarett face laugh two hour,,positive
review 113,"If you plan on watching this I would suggest skipping to the last 20 or 30mins. Otherwise it's completely boring, I thought people were saying this was suppose to be better",,,negative
review 114,"Acting, Cinematography, Music, Screenplay, Costumes, Gotham etc everything is 10/10.Oscar worthy performanceby by Joaquin Phoenix.Amazing directing by Todd Phillips & amazing cinematography by Lawrence Sher.",act cinematographi music screenplay costum gothic etc everyth 1010oscar worthi perform joaquin phoenixamaz direct told phillip amaz cinematographi lawrenc her,,positive
review 115,"This was one of the worse movies I have seen. It was over acted by all actors, the story dragged on and on. I saw this movie for a bargain matinee and thought I was ripped off! The only good part was the comfy chairs and the half priced snacks! Phoenix was so over the top and not in a good way. PHOENIX STOP DANCING!!! Deniro played another version of all the parts he has played in the past few years! 2 stars for the chair and 1 star for the snacks, -1 stars for wasting my day!",one wors move seen act actor stori drag saw movi bargain main thought grip good part come chair half price snack phoenix top good way phoenix stop danc denisov play anoth version part play past year 2 star chair 1 star snack 1 star wast day,,negative
review 116,"I am not a Batman fan nor am I particularly fond of Joaquin Phoenix, but this movie was truly exceptional. It started slow but built to a viscerally satisfying crescendo. I never thought I would be rooting for the Joker, but found that I did so throughout the movie. The Joker's pain was so palpable. I am filling out my Oscar pool card right now.

PS This movie is dark and violent and decidedly not a super hero movie. Leave the kids at home.",batman fan particularli fond joaquin phoenix movi truli except start slow built viscer satisfi crescent never thought would foot joke found throughout movi joke pain palpabl fill oscar pool card right is movi dark violent decidedli super hero movi leav kiss home,,positive
review 117,"My husband and I went to see this film and found it extremely depressing. Moreover, everything is caricatured. What could be more normal, you might say, given that it was a depicting the life of a comic book clown? Christopher Nolan, the director of the famous Batman trilogy, said before it was produced that this movie would be useless. Simply because when it comes to horror, the less you show, the scarier it is. If you're told that there is a giant monster in the woods and it eats people, you'll laugh and not believe it or you'll imagine the most horrible monster there is; the most horrible according to you! What others show us is never as horrible for us as what we imagine. Here, to make things really awful, we sink into the worst possible melodrama. As if psychopaths had all been mistreated during their childhood, mocked in adolescence, misunderstood in adulthood without ever having anyone to help them effectively! But no, the vast majority of them were born with a missing bolt in their heads. Something was wrong in them from the start. Here, the director wanted to make us cry by portraying roughly the most cartoonish misery. Everything is in bold capital letters, underlined and highlighted to be sure that we fully understood that the main character didn't have an easy life and that our society is so rotten that we should all revolt and suicide out of desperation or kill each other to put an end to it all. ""Why so serious ? ""asked the Ledger Joker. And that's a good question, because I'm worried about the future of this character, especially for the actors who will want to play him. In terms of the actor's performance, that's Joaquim Phoenix pushed to the extreme all over. In all his films I remember, this actor plays social misfits, loners unable to make friends, depressive people or on the verge of a nervous breakdown, misunderstood guys, sons rejected by their fathers, rebels, etc. In short, he only plays tortured souls. He even played a guy who falls in love with his computer because he can't get along with a real girlfriend. So it's normal that he knows how to play a crazy clown. Talent? If you will, considering the fact that he seems unable to play much else. This simplistic and gloomy depiction of society has already claimed victims. There are people who dress up as clowns and ransack everything in the streets and cinemas where the film is shown. It seems that some misfits wanted to believe that, as with the Joker, their misfortune depended on everything and everyone else. Their happiness couldn't certainly be up to themselves. Anyway, don't believe the good things that are said about this movie. And if you feel a bit out of sorts, don't go to see it, you'll make yourself more unhappy for a film that's really not worth it.",husband went see film found extrem depress moreov everyth caricatur could normal might say given depict life comic book clown christoph woman director famou batman trilog said produc movi would useless simpli come horror le show career your told giant monster wood eat peopl you laugh believ you imagin horribl monster horribl accord other show u never horribl u imagin make thing realli aw sink worst possibl melodrama psychopath mistreat childhood mock adolesc misunderstood adulthood without ever anyon help effect vast major born miss bolt head someth wrong start director want make u cri portray roughli cartoon miseri everyth bold capit letter undermin highlight sure fulli understood main charact didn easi life societi rotten revolt suicid desper kill put end seriou ask ledger joke that good question in worri futur charact especi actor want play term actor perform that joaquim phoenix push extrem film rememb actor play social visit lover unabl make friend depress peopl verg nervou breakdown misunderstood gun son reject father rebel etc short play tortur soul even play guy fall love comput can get along real girlfriend normal know play crazi clown talent consid fact seem unabl play much el simplist gloomi deduct societi alreadi claim victim peopl dress clown ransack everyth street cinema film shown seem visit want believ joke misfortun depend everyth everyon el happi couldn certainli anyway dont believ good thing said movi feel bit sort dont go see you make unhappi film that realli worth,,negative
review 118,"Masterpiece, one of the best films of the decade, it has it all, acting, directing, setting, photography, soundtrack, in a few years this film will be a cult one.",masterpiec one best film decad act direct set photographi soundtrack year film cult one,,positive
review 117,"I was underwhelmed - to say it friendly - but not surprised by the fact. Because Hollywood has lost its magic looong time ago. IMHO no. bo. dy gives a damn about Darth Vader's Childhood or Joker's relationship with his mother. All we want for centuries is a proper boogeyman. If you overpaid LaLaLand-Schmocks won't jump from the stupid Prequel-explains-it-all-train - please give us at least solid filmmaking. Joker is a mess. No story, no finesse, no build-up, no surprises, no ideas. But a load of layman-psychology that should make even 12y olds roll their eyes; a cacophony of more or less unrelated scenes; cheesy taxi-driver-moments without any impact; massive overacting by Phoenix and no subtle sinister Joker moments except for the two second Elevator-Scene we all know (and love) from the trailer. rating 9.0? A joke. Heath Ledger, I miss you.",underwhelm say friendli surpris fact hollywood lost magic long time ago who to dy give damn earth order childhood joke relationship mother want centuri proper boogeyman overlaid lalalandschmock wont jump stupid prequelexplainsitalltrain plea give u least solid filmmak joke mess stori fine build surpris idea load laymanpsycholog make even by old roll eye cacophoni le unrel scene chees taxidrivermo without impact massiv oper phoenix subtl sinist joke moment except two second elevatorscen know love trailer rate 90 joke heath ledger miss,,positive
review 120,"One of the worst movies I have ever seen. Ok, maybe not but they hype surrounding the movie killed it for me. It's not a masterpiece but an ok film. Why the one star? Way too many 10's! For once I actually agree with the actual critics who graded this film.",one worst move ever seen ok mayb hope surround movi kill masterpiec ok film one star way mani wa actual agre actual critic grade film,,negative
review 118,"I didnt really know much about this movie. I hadnt seen any trailers for it or anything but i decided to give it a go while i was stoned with my mate Steve. we actually got tickets for a different movie but couldnt find our screen so we ended up in the screen showing The Joker. It wasnt til about 45 minutes in that I realised this movie is no good. I couldnt understand a lot of what certain actors were saying it was really mumbled and low quality. The story is so confusing its hard to keep track of who's who. There's a lot of scenes where literally nothing happens except for people talking or walking down corridors. I whispered to my mate Steve about an hour in to see if he thought it was as bad as i did, but he had fallen asleep.

The good thing about the movie is the acting. the geezer who plays the joker is very good at it. Also there is a few very funny scenes near the end but other than that this movie is overly long, too complex, not enough action, and poor directing.",didn realli know much movi hadn seen trailer anyth decid give go stone mate steve actual got ticket differ movi couldn find screen end screen show joke want til 45 minut realis movi good couldn understand lot certain actor say realli mumbl low qualiti stori confus hard keep track who there lot scene liter noth happen except peopl talk walk corridor whisper mate steve hour see thought bad fallen asleep good thing movi act deeper play joke good also funni scene near end movi overlay long complex enough action poor direct,,negative
review 123,"Film was directed and produced poorly. Opportunity to take advantage of the incredible Joaquin Phoenix was blown.

Gratuitous violence. Misplaced violence. Wrong approach to joker.

Disappointing connection to viewer. Film was wandering for long periods. Tons of footage that should have hit the cutting room floor.

I really wanted an stirringly creepy connection with Joaquin as Joker. It wasn't there.

If you are looking for Joaquin moment like in Gladiator, you will be very disappointed.",film direct produc poorli opportun take advantag incred joaquin phoenix blown gratuit violenc misplac violenc wrong approach joke disappoint connect viewer film wander long period ton forag hit cut room floor realli want stir creep connect joaquin joke want look joaquin moment like gladiat disappoint,,positive
review 121,"Wow, what a movie! I have to admit, When I first heard Joaquin Phoenix was going to be the joker, I was surprised. I wasn't sure how he was going to pull it off. I was hoping it wasn't going to be another cheesy rendition full of fluff and unrealistic explanations of how the Joker came to be. One where my (adult) son wouldn't have to keep nudging me to wake me up. I was pleasantly surprised on well Todd Phillips' version played and Joaquin's acting was superb. You could feel the anguish his character was going through right up to the point he lost his mind. Just an excellent, well acted movie that you almost forget is derived from a DC comic.",now movi admit first heard joaquin phoenix go joke surpris want sure go pull hope want go anoth chees condit full fluff realist explan joke came one adult son wouldn keep nudg wake pleasantli surpris well told phillip version play joaquin act superb could feel anguish charact go right point lost mind excel well act movi almost forget deriv do comic,,positive
review 122,"While I enjoyed the film, it felt pretty short. When ""The End"" appeared on the screen I couldn't help but think - ""That's it?""

Joaquin Phoenix was fantastic with his new take on the Joker, and it's mesmerizing to see his facial expressions keep changing. And his Joker laugh is unique - sinister and full of Joker's madness.

However despite some minor plot twists, most of interesting bits in the film have already been shown in the trailers. Don't expect much action like in The Dark Knight trilogy. Despite the much hyped gun violence, there are less guns in this movie than in any other Batman flick.

This is not a bad film, but it's not a great one either. Watch it only for Joaquin's performance.",enjoy film felt pretti short end appear screen couldn help think that joaquin phoenix fantast new take joke mesmer see facial express keep chang joke laugh uniqu sinist full joke mad howev despit minor plot twist interest bit film alreadi shown trailer dont expect much action like dark knight trilog despit much hope gun violenc le gun movi batman flick bad film great one either watch joaquin perform,,positive
 review123,"I thought this movie was complete and utter garbage. I don't understand why people liked this movie so much. The character doesn't even stay true to the comics and the director flat out said it didn't, and then they made it seem like it was part of Gothams fall and he was just a little boy that had a laughing problem... Hated it",thought movi complet utter garag dont understand peopl like movi much charact doesn even stay true comic director flat said didn made seem like part gotham fall littl boy laugh problem hate,,positive
review 124,This movie is poorly done as to how it tells the story. It is a dark movie showing the problem of mental illness,movi poorli done tell stori dark movi show problem mental ill,,positive
